"Date","Make","Quantity","Pct"
2007-01,Toyota,2884,227
2007-01,Volkswagen,2521,199
2007-01,Peugeot,1029,81
2007-01,Ford,870,69
2007-01,Volvo,693,55
2007-01,Skoda,665,52
2007-01,Opel,622,49
2007-01,Audi,599,47
2007-01,Honda,423,33
2007-01,Mercedes-Benz,362,29
2007-01,BMW,352,28
2007-01,Citroen,263,21
2007-01,Suzuki,258,2
2007-01,Mazda,191,15
2007-01,Saab,169,13
2007-01,Renault,168,13
2007-01,Mitsubishi,136,11
2007-01,Nissan,127,1
2007-01,Hyundai,97,08
2007-01,Kia,55,04
2007-01,Dodge,33,03
2007-01,MINI,26,02
2007-01,Subaru,26,02
2007-01,Lexus,22,02
2007-01,Chevrolet,20,02
2007-01,Alfa Romeo,16,01
2007-01,Daihatsu,15,01
2007-01,Land Rover,14,01
2007-01,Fiat,9,01
2007-01,Chrysler,4,0
2007-01,Iveco,4,0
2007-01,Jaguar,3,0
2007-01,Jeep,2,0
2007-01,Nilsson,2,0
2007-01,Think,2,0
2007-01,Smart,1,0
2007-01,Ssangyong,1,0
2007-01,NA,1,0
2007-02,Toyota,1885,192
2007-02,Volkswagen,1517,155
2007-02,Ford,686,7
2007-02,Peugeot,621,63
2007-02,Volvo,570,58
2007-02,Opel,551,56
2007-02,Audi,498,51
2007-02,Skoda,463,47
2007-02,Mercedes-Benz,410,42
2007-02,Honda,356,36
2007-02,BMW,335,34
2007-02,Suzuki,264,27
2007-02,Mitsubishi,262,27
2007-02,Citroen,247,25
2007-02,Mazda,239,24
2007-02,Saab,175,18
2007-02,Hyundai,149,15
2007-02,Nissan,134,14
2007-02,Kia,119,12
2007-02,Renault,84,09
2007-02,Chevrolet,35,04
2007-02,MINI,32,03
2007-02,Land Rover,30,03
2007-02,Dodge,24,02
2007-02,Daihatsu,22,02
2007-02,Subaru,18,02
2007-02,Lexus,17,02
2007-02,Alfa Romeo,9,01
2007-02,Fiat,6,01
2007-02,Jeep,6,01
2007-02,Nilsson,6,01
2007-02,Chrysler,5,01
2007-02,Jaguar,5,01
2007-02,Smart,5,01
2007-02,Chevrolet US,3,0
2007-02,Ssangyong,2,0
2007-02,Porsche,2,0
2007-02,Cadillac,1,0
2007-03,Toyota,1833,163
2007-03,Volkswagen,1428,127
2007-03,Peugeot,867,77
2007-03,Ford,766,68
2007-03,Audi,682,61
2007-03,Volvo,656,58
2007-03,Opel,578,51
2007-03,Mitsubishi,512,45
2007-03,Skoda,491,44
2007-03,Honda,399,35
2007-03,Mercedes-Benz,387,34
2007-03,BMW,365,32
2007-03,Suzuki,333,3
2007-03,Nissan,327,29
2007-03,Mazda,319,28
2007-03,Saab,243,22
2007-03,Citroen,239,21
2007-03,Hyundai,228,2
2007-03,Kia,171,15
2007-03,Renault,131,12
2007-03,Chevrolet,52,05
2007-03,Land Rover,40,04
2007-03,Jeep,33,03
2007-03,MINI,28,02
2007-03,Daihatsu,27,02
2007-03,Dodge,25,02
2007-03,Alfa Romeo,21,02
2007-03,Fiat,20,02
2007-03,Lexus,18,02
2007-03,Porsche,14,01
2007-03,Jaguar,9,01
2007-03,Subaru,7,01
2007-03,Iveco,5,0
2007-03,Cadillac,4,0
2007-03,Chrysler,3,0
2007-03,Nilsson,1,0
2007-03,NA,1,0
2007-03,Aston Martin,1,0
2007-04,Toyota,1300,147
2007-04,Volkswagen,1257,142
2007-04,Volvo,587,66
2007-04,Audi,556,63
2007-04,Peugeot,547,62
2007-04,Opel,534,6
2007-04,Ford,451,51
2007-04,Skoda,438,49
2007-04,Mercedes-Benz,387,44
2007-04,BMW,360,41
2007-04,Honda,351,4
2007-04,Suzuki,347,39
2007-04,Nissan,328,37
2007-04,Mazda,249,28
2007-04,Saab,191,22
2007-04,Citroen,179,2
2007-04,Hyundai,142,16
2007-04,Mitsubishi,104,12
2007-04,Renault,92,1
2007-04,Kia,92,1
2007-04,Chevrolet,79,09
2007-04,Subaru,77,09
2007-04,Land Rover,42,05
2007-04,MINI,31,04
2007-04,Dodge,25,03
2007-04,Alfa Romeo,20,02
2007-04,Lexus,18,02
2007-04,Daihatsu,17,02
2007-04,Chrysler,11,01
2007-04,Jeep,10,01
2007-04,Fiat,7,01
2007-04,Porsche,7,01
2007-04,Jaguar,5,01
2007-04,Iveco,5,01
2007-04,Morgan,4,0
2007-04,Cadillac,2,0
2007-04,Smart,1,0
2007-04,Think,1,0
2007-05,Volkswagen,1934,161
2007-05,Toyota,1866,155
2007-05,Volvo,805,67
2007-05,Opel,771,64
2007-05,Peugeot,743,62
2007-05,Ford,648,54
2007-05,Audi,630,52
2007-05,Honda,520,43
2007-05,Skoda,517,43
2007-05,BMW,431,36
2007-05,Mercedes-Benz,422,35
2007-05,Suzuki,420,35
2007-05,Nissan,382,32
2007-05,Mazda,325,27
2007-05,Saab,241,2
2007-05,Citroen,223,19
2007-05,Mitsubishi,222,18
2007-05,Kia,169,14
2007-05,Hyundai,155,13
2007-05,Renault,109,09
2007-05,Land Rover,91,08
2007-05,Subaru,78,06
2007-05,Jeep,72,06
2007-05,Chevrolet,65,05
2007-05,Daihatsu,36,03
2007-05,MINI,30,02
2007-05,Dodge,29,02
2007-05,Fiat,18,01
2007-05,Alfa Romeo,17,01
2007-05,Lexus,10,01
2007-05,Chrysler,8,01
2007-05,Jaguar,5,0
2007-05,Porsche,4,0
2007-05,Aston Martin,4,0
2007-05,Ssangyong,3,0
2007-05,Smart,2,0
2007-05,Morgan,2,0
2007-06,Toyota,1620,146
2007-06,Volkswagen,1531,138
2007-06,Ford,772,7
2007-06,Opel,683,62
2007-06,Volvo,662,6
2007-06,Honda,624,56
2007-06,Peugeot,569,51
2007-06,Skoda,512,46
2007-06,Audi,498,45
2007-06,BMW,477,43
2007-06,Mercedes-Benz,421,38
2007-06,Mitsubishi,414,37
2007-06,Nissan,364,33
2007-06,Mazda,296,27
2007-06,Citroen,277,25
2007-06,Suzuki,262,24
2007-06,Hyundai,204,18
2007-06,Saab,195,18
2007-06,Kia,159,14
2007-06,Renault,107,1
2007-06,Chevrolet,74,07
2007-06,Jeep,68,06
2007-06,Subaru,65,06
2007-06,Land Rover,47,04
2007-06,MINI,37,03
2007-06,Daihatsu,37,03
2007-06,Dodge,23,02
2007-06,Alfa Romeo,21,02
2007-06,Lexus,17,02
2007-06,Fiat,10,01
2007-06,Jaguar,8,01
2007-06,Smart,8,01
2007-06,Chrysler,5,0
2007-06,Porsche,5,0
2007-06,Ssangyong,5,0
2007-06,Aston Martin,3,0
2007-06,Cadillac,1,0
2007-06,Chevrolet US,1,0
2007-06,Bentley,1,0
2007-07,Toyota,1901,158
2007-07,Volkswagen,1777,147
